"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"53",62,2023-11-15 12:04:46,"abuja","wood_shack","female","rented",5,1,0,1,1,1,"packaged",0,0,0,0,0,0,0,1,1,0,"commercial_tap",NA,"pay_to_fetch","na",4,4,0,"Yes","over_year_ago",0,0,0,1,1,0,0
"54",54,2023-11-12 16:01:13,"abuja","block_unit","female","owned",9,2,1,3,1,3,"packaged",0,0,0,0,0,1,1,0,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,100,"Yes","last_3_days",1,0,0,1,0,0,1
"55",63,2023-11-15 12:16:22,"abuja","wood_shack","male","no_payment",10,1,0,1,1,1,"packaged",0,0,0,1,0,0,0,0,0,0,"commercial_tap",NA,"both","na",2,2,600,"Yes","last_7_days",3,0,0,1,0,1,0
"56",64,2023-11-15 12:34:43,"abuja","wood_shack","male","no_payment",27,1,0,1,1,1,"packaged",0,0,0,1,0,0,0,0,0,0,"commercial_tap",NA,"both","na",4,4,1000,"No","have_not_struggled",0,0,0,0,0,0,0
"57",65,2023-11-15 12:50:26,"abuja","no_structure","female","no_payment",5,7,0,7,NA,NA,"packaged",0,1,0,0,1,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",28.8571428571429,4.12244897959184,NA,"Yes","last_3_days",1,0,0,1,1,0,0
"58",67,2023-11-15 13:50:19,"abuja","multistory_apt","male","no_payment",3,1,0,1,1,1,"packaged",0,0,0,0,0,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",4,4,0,"Yes","last_7_days",3.5,0,0,0,0,0,0
"59",68,2023-11-15 14:08:43,"abuja","wood_shack","female","rented",5,2,1,3,1,3,"packaged",0,0,0,1,0,0,1,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",10.5,3.5,200,"Yes","last_year",0,0,0,0,0,0,0
"60",69,2023-11-15 14:26:14,"abuja","block_unit","female","owned",4,3,3,6,NA,NA,"packaged",0,0,0,0,0,0,1,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",13.1428571428571,2.19047619047619,0,"No","have_not_struggled",0,0,0,0,0,0,0
"61",70,2023-11-15 14:38:51,"abuja","wood_shack","female","rented",25,3,0,3,2,1.5,"packaged",0,0,1,0,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",14.5,4.83333333333333,150,"No","have_not_struggled",0,0,0,0,0,0,0
"62",71,2023-11-15 15:10:18,"abuja","no_structure","female","rented",10,4,0,4,NA,NA,"packaged",0,0,0,0,0,0,1,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",16.5,4.125,0,"No","have_not_struggled",0,0,0,0,0,0,1
