"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"46",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","years_in_community",40
"47",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","adult_count",5
"48",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","child_count",0
"49",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","hh_size",5
"50",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","rooms_in_hh",4
"51",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","density",1.25
"52",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","daily_dw_cost_pp",15
"53",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","storage",0
"54",6,"abuja","wood_unit","female","owned","self","yes","other","packaged","cleanliness","packaged","availability","high_end","commercial_tap","na","pay_to_fetch","15.571428571428571","3.1142857142857143","sachet_to_cook;skipped_cooking;skipped_laundry","last_7_days","days_struggle",0
"55",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","years_in_community",14
"56",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","adult_count",2
"57",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","child_count",1
"58",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","hh_size",3
"59",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","rooms_in_hh",1
"60",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","density",3
"61",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","daily_dw_cost_pp",1.86666666666667
"62",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","storage",0
"63",7,"abuja","wood_unit","female","rented","self","yes","water","packaged","convenience;cleanliness","na","na","mid_range","commercial_tap","na","pay_to_fetch","20","10","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","days_struggle",2
